date,windchill,DTR
160101,3.82570528,7.3
160102,6.1678876,8.5
160103,8.0434268,4.3
160104,-4.5232912,7.8
160105,-5.03929064,6.3
160106,-0.42382104,6.6
160107,-7.307164,7.3
160108,-3.5365244,7.9
160109,-2.94547544,8.6
160110,-3.54312248,6.5
160111,-10.00924176,7.4
160112,-9.453592,9.8
160113,-4.830446,8.3
160114,-1.44666352,9.7
160115,0.91854752,9.6
160116,-6.12921072,4.9
160117,-0.60953128,6.1
160118,-29.13755816,12.7
160119,-45.98635008,6.2
160120,-9.5106236,9.3
160121,-5.99981352,7.9
160122,-13.14397984,7.3
160123,-30.729394,7.7
160124,-27.31071872,7.5
160125,-9.24436624,10.9
160126,-5.72736056,10.2
160127,-1.1643348,9
160128,2.1479508,9.1
160129,0.23591208,6.8
160130,0.6687208,7.7
160131,-13.11126632,6.8
160201,-14.367272,8.1
160202,-7.24497144,10.9
160203,-1.85635904,12.3
160204,-3.41662312,7.9
160205,-5.876212,10.2
160206,-9.85227016,8.2
160207,-3.1052172,11.8
160208,-5.45393448,9.8
160209,-6.1353644,9.4
160210,5.30607688,15
160211,1.7069164,11.9
160212,3.52237792,3.2
160213,6.6347432,8.6
160214,-21.35332464,12.6
160215,-21.9796888,7.7
160216,-7.90559336,7.8
160217,-1.942976,10.6
160218,-3.1040332,9.2
160219,4.30892744,4.3
160220,-4.20349032,8.8
160221,-6.64273616,8.6
160222,1.83764456,6.4
160223,-6.89055384,9
160224,-9.7238888,9
160225,-4.81025136,11.5
160226,1.18461456,10.7
160227,3.5800444,7.6
160228,0.13762248,9.5
160229,-18.9096168,4.8
160301,-6.472442,9.6
160302,-1.89262584,10.3
160303,9.22565176,9.5
160304,11.78078176,13.9
160305,9.82515992,4.4
160306,4.74416808,8.6
160307,8.7557308,7.4
160308,-3.59264792,8.4
160309,-9.3756668,8
160310,-9.32474568,7.4
160311,-4.5153612,10.1
160312,-0.86788,9.7
160313,6.29299128,4.6
160314,1.80419048,8.3
160315,4.55644896,13.4
160316,8.10877,11.1
160317,12.70474168,12.7
160318,13.07504144,11.3
160319,10.341244,11.5
160320,10.62575088,12.6
160321,9.83898952,10.6
160322,6.28688,10.3
160323,4.65482352,10
160324,5.82338752,11.1
160325,6.69194408,10.5
160326,6.0175772,10.5
160327,4.84243648,10.9
160328,10.5887864,15.1
160329,7.44413144,9.5
160330,11.6373012,11.3
160331,14.2317844,15.4
160401,16.5192604,16.5
160402,15.258772,12.1
160403,12.79085096,4.5
160404,12.53645704,14.7
160405,10.341244,12.2
160406,15.87485824,16.3
160407,11.8964332,10.1
160408,9.983506,10.9
160409,12.38030984,6.7
160410,14.12167376,11.4
160411,12.022382,13.7
160412,14.22666712,9.1
160413,17.73863968,10
160414,11.16198816,9.3
160415,14.321764,15
160416,13.25637464,10.9
160417,0.64410784,6.2
160418,7.70802048,11.5
160419,12.1992736,12.7
160420,15.11266952,10.8
160421,11.8056292,6.6
160422,12.4988164,8.5
160423,14.2317844,12
160424,17.0358308,15.6
160425,19.35424416,15.1
160426,22.7732148,17.5
160427,14.37450528,6.2
160428,18.5679696,10.6
160429,16.065052,11.7
160430,14.83196968,9.6
160501,19.84209824,13.8
160502,22.42717128,11.9
160503,3.48281464,8.7
160504,7.76374488,10.4
160505,21.07082392,16.7
160506,17.5975284,5.6
160507,16.1447116,11.9
160508,20.72831216,15.2
160509,21.8027736,9.1
160510,14.6853804,5.6
160511,17.7053552,13.1
160512,17.47621104,11.9
160513,19.84742704,12.7
160514,21.22204464,11.8
160515,16.98095632,11.9
160516,13.66484392,11.1
160517,21.04646328,15.7
160518,24.21275208,16
160519,26.62342792,15.6
160520,26.1137728,14.8
160521,26.0080188,12.6
160522,26.74578312,14.1
160523,25.02262712,11.1
160524,16.50930112,6.4
160525,19.82867096,9.1
160526,21.36385328,5.4
160527,23.09032952,12.3
160528,23.26085688,10.8
160529,22.7128628,10.4
160530,23.25074936,12
160531,22.504336,10.2
160601,25.02262712,12.8
160602,24.53733312,11.9
160603,23.66351056,10.1
160604,23.56399328,8.1
160605,26.92739016,14.9
160606,24.77707256,7.6
160607,23.89813176,6.3
160608,23.40093272,9.5
160609,26.0080188,13.5
160610,26.36097808,11.1
160611,25.7156868,5.6
160612,25.2428484,6.8
160613,24.8882196,10.2
160614,25.57318032,9.8
160615,21.31443512,7.1
160616,21.13684568,6.3
160617,25.127748,10.5
160618,26.6300684,9.8
160619,26.11252536,9
160620,26.92739016,11.1
160621,28.2400688,10.3
160622,26.2236724,9.3
160623,26.56417608,9.8
160624,24.9297508,4.6
160625,23.53269856,7.5
160626,25.64791392,10.9
160627,26.72211936,9.6
160628,26.83658664,9.3
160629,27.14773944,9.3
160630,25.80245392,3.9
160701,25.5798208,4.6
160702,24.8882196,7.1
160703,25.8338964,5.7
160704,21.9576536,3.9
160705,23.91099112,4.6
160706,24.84600984,6.6
160707,26.6477248,8.4
160708,29.52132376,11.2
160709,29.8897836,9.5
160710,30.14087848,9.9
160711,30.66347552,8.6
160712,28.32594632,8.8
160713,28.32594632,6.3
160714,29.647274,8.4
160715,27.93310608,5.5
160716,19.7516352,4
160717,22.46426328,2.7
160718,26.8197744,7.7
160719,29.4227796,11.5
160720,30.86195856,8.9
160721,30.51957384,7.3
160722,31.41872968,8.8
160723,30.96750152,4.4
160724,30.213264,3.1
160725,30.65087264,5
160726,30.60676256,6.3
160727,29.48709088,2.2
160728,30.0897696,3.8
160729,28.59725672,5
160730,30.85849104,6.6
160731,31.16323416,6.2
160801,30.66977696,6.6
160802,29.62030976,6.1
160803,31.36061704,10.2
160804,32.93968008,9.7
160805,33.54842944,9.5
160806,32.7839564,7.4
160807,32.97281776,8
160808,32.8256156,9.1
160809,31.60075928,7.2
160810,31.70630224,8.7
160811,32.908934,10.3
160812,32.8011072,9.5
160813,32.72468432,8.3
160814,31.17858744,4.5
160815,31.38967336,8.2
160816,31.55799992,8.7
160817,32.23401704,9.6
160818,32.15014856,8.1
160819,31.15299864,6.6
160820,32.38005528,8.4
160821,33.17081448,9.7
160822,33.17081448,10.5
160823,30.52815912,7
160824,31.37998792,6.5
160825,29.27881416,8.2
160826,22.7478632,8.7
160827,23.92780336,12.8
160828,21.6135544,6.2
160829,23.9593096,9.7
160830,19.83634832,6.6
160831,14.59500184,3.1
160901,23.66190528,12.8
160902,25.40028656,8.4
160903,26.01051368,8.2
160904,27.9766656,7.5
160905,28.64396992,8.1
160906,26.83658664,8
160907,26.42355016,7.7
160908,25.7293256,5
160909,26.01051368,9.6
160910,26.72211936,9.1
160911,26.7254396,6.1
160912,25.37372464,6.1
160913,26.73332752,11.2
160914,26.73332752,7.5
160915,26.55588488,10.7
160916,27.0125896,9.1
160917,23.78364616,9.7
160918,24.0607524,8.1
160919,21.3145636,9.6
160920,20.20523024,11.4
160921,21.8027736,11
160922,23.94533128,9.7
160923,23.76137616,11.5
160924,24.64959912,12.4
160925,25.8589544,11.1
160926,25.70073632,9.2
160927,23.8925272,4.7
160928,22.88228808,3.1
160929,20.1283408,6.6
160930,22.8731532,5.8
161001,24.15738888,8.1
161002,18.9619752,5.7
161003,23.54308136,8.3
161004,23.1337872,13.4
161005,21.0429972,9.7
161006,17.9676592,9.9
161007,20.03366648,8.3
161008,15.69562048,11.5
161009,8.63464568,10.1
161010,16.4582096,14
161011,17.23348848,11.1
161012,16.734914,9.3
161013,18.25804352,12.6
161014,19.94341064,13
161015,22.14756872,14.7
161016,19.8784272,4.1
161017,20.42289,7.2
161018,19.9522712,12.8
161019,20.649688,10.3
161020,20.53778032,12.9
161021,16.8617108,6.3
161022,20.22800296,8.3
161023,7.3394988,7.2
161024,15.06339816,11.6
161025,14.55955768,5
161026,16.46969208,5.8
161027,16.08594416,12.3
161028,14.157116,8.2
161029,3.6645256,7.7
161030,10.9125204,13.5
161031,6.1678876,7.5
161101,-2.7054188,9
161102,7.81030616,13.2
161103,11.62232904,9.9
161104,10.66645864,7.5
161105,15.571108,5.9
161106,10.4250704,6.4
161107,10.92294656,9.3
161108,-3.9764596,8
161109,2.89307416,11.8
161110,6.491368,8.3
161111,8.93983368,8
161112,11.13035248,11.6
161113,16.52693632,6
161114,15.31523296,5.6
161115,1.33953504,7.7
161116,8.84566752,12
161117,13.41065928,12.5
161118,11.54759688,9.7
161119,13.3232184,8.7
161120,8.433308,8.9
161121,9.3894116,9.5
161122,-9.3971728,10.5
161123,-8.8793336,8.4
161124,-3.385918,8.6
161125,4.260396,9.5
161126,-0.91087112,3.4
161127,6.4777708,6.1
161128,-1.583356,7
161129,4.31916248,11.4
161130,6.491368,9.1
161201,-4.53773416,8
161202,2.98372992,11.4
161203,8.1868012,12
161204,10.1866404,7.5
161205,1.1818868,9.8
161206,-4.564506,8.5
161207,0.00655544,10.2
161208,4.10697688,9.1
161209,-3.45217072,7.1
161210,-1.01201536,9.5
161211,4.27593912,12.5
161212,3.10416008,9.3
161213,3.6878712,9.2
161214,-6.29601552,2.2
161215,-13.06062,6.1
161216,-6.57060456,9.8
161217,4.11958024,10.7
161218,5.84827704,5.4
161219,5.332912,7.7
161220,12.06731808,9.2
161221,1.4227476,8.5
161222,-1.987278,9.5
161223,-14.066038,5.9
161224,-1.14663488,5.4
161225,2.9962488,10.9
161226,6.304326,3.1
161227,-13.0698612,7.6
161228,-2.48900344,11
161229,-10.51363184,6.1
161230,1.02438712,10.1
161231,3.9711732,9.3
170101,5.8993252,8.5
170102,4.87238,7.4
170103,3.3967664,10
170104,5.92453192,7.9
170105,-2.13020848,7.4
170106,3.71806864,8.9
170107,8.28092496,10.5
170108,3.9917276,6.9
170109,-6.4293452,7.4
170110,-12.84080056,8.5
170111,-4.81735632,10.9
170112,-10.10715088,7.1
170113,-13.5753296,7.2
170114,-24.27727328,5.1
170115,-9.51174512,10.6
170116,0.37452912,12.9
170117,1.368168,10.5
170118,4.1469444,5.8
170119,1.45711072,9.6
170120,-12.2766288,6.4
170121,-2.49054688,9.1
170122,-24.12833736,7.6
170123,-11.29117272,8.5
170124,-7.526116,10.3
170125,-1.7168752,11.1
170126,-2.74919224,11.3
170127,-12.78182256,8.8
170128,0.37089152,12.5
170129,2.15765696,3.4
170130,-15.09289856,7
170131,-3.46616912,10.1
170201,-8.02264,8.2
170202,-7.90559336,12.5
170203,4.742434,9
170204,3.52963096,6.1
170205,0.68817568,3.8
170206,-8.7486684,7
170207,1.368168,8.6
170208,-2.3504296,5.5
170209,-19.66025976,5
170210,-24.01336304,6.8
170211,-11.27021696,10
170212,-3.05558608,11.6
170213,2.74009944,11.5
170214,-2.895062,10.5
170215,5.64545968,11.9
170216,5.952234,12.2
170217,-11.21180992,14.2
170218,-8.49607152,9.9
170219,3.10416008,9.1
170220,-16.7573732,10.6
170221,2.04925936,14.5
170222,-2.45779144,3.8
170223,-14.0006948,6.3
170224,-2.18721984,10.2
170225,1.03866032,11.2
170226,3.33083104,11.6
170227,5.15217144,12.5
170228,6.0600608,13.6
170301,6.49454,9.4
170302,-4.78918928,7.7
170303,3.00049912,13.5
170304,8.26682008,12.6
170305,5.09260128,9.2
170306,-12.9229764,6.8
170307,-14.38742488,6.9
170308,-7.31522104,10.3
170309,-2.92790272,13.4
170310,4.10687104,13.4
170311,8.86949976,16.9
170312,8.8635576,9.6
170313,4.975174,10.7
170314,0.00632304,9.9
170315,6.30381832,12.9
170316,7.22033552,12.4
170317,8.3244236,14.5
170318,8.9514644,10.2
170319,13.39877496,15.7
170320,11.86401424,9.5
170321,2.65595696,8.3
170322,5.809896,12.2
170323,8.93983368,9.9
170324,8.94647368,11.3
170325,8.28580984,7.6
170326,6.91673304,6.8
170327,4.021206,6.5
170328,8.17022216,10.2
170329,8.14871616,9.7
170330,11.86422576,13
170331,7.46085776,7.5
170401,9.2768056,10.3
170402,9.2768056,12.7
170403,11.91946096,14.9
170404,15.2253388,15.1
170405,11.4375712,3.4
170406,9.56617664,3
170407,15.3328908,14.5
170408,12.24918,11.3
170409,13.44489696,9.9
170410,15.5885548,13.2
170411,12.85344664,8.7
170412,5.7532452,7.6
170413,11.891442,13.3
170414,8.669052,7.6
170415,17.59420864,13.4
170416,21.55237512,11.5
170417,15.23392456,6.8
170418,10.698982,8
170419,10.30360336,11.4
170420,12.85052728,8.3
170421,14.1470708,11.7
170422,15.66322272,14
170423,14.82947384,12.8
170424,14.13324168,13
170425,15.2475648,7.5
170426,12.27292872,9.7
170427,10.21017792,11.9
170428,12.2884288,12.6
170429,16.60951528,14.1
170430,19.54754712,14.1
170501,21.89080696,15.5
170502,22.15975048,12.8
170503,23.204522,15.7
170504,22.665388,12.7
170505,20.42648792,11.5
170506,10.42479608,9.3
170507,14.61147408,11.9
170508,19.07665256,12.4
170509,19.51764424,7.3
170510,16.303544,6.6
170511,21.26059416,11.7
170512,20.39798024,4.3
170513,14.62137056,10.2
170514,11.91263256,9.7
170515,14.9580672,7.8
170516,18.4601428,9
170517,19.84742704,13.6
170518,21.45140128,13
170519,21.73508424,12.8
170520,21.84720344,11.9
170521,22.7128628,11.6
170522,23.5280024,12.1
170523,21.785264,7.2
170524,23.5280024,10.9
170525,17.69469952,10
170526,16.85105272,10.8
170527,20.6288596,12.7
170528,21.68587616,13.5
170529,24.31835928,11.2
170530,25.00518176,11.7
170531,25.26818168,11.9
170601,23.79485432,7
170602,20.6324556,10.1
170603,20.259006,10.4
170604,22.46426328,13
170605,26.21806832,13.9
170606,19.880924,9.4
170607,17.98745216,4.1
170608,20.12806552,10.8
170609,20.66144864,7.8
170610,22.7128628,10.8
170611,24.33787744,14.8
170612,22.65001592,11
170613,22.5489764,7.6
170614,22.27172336,9
170615,24.293026,11.6
170616,27.3725284,12.7
170617,25.70695472,9.3
170618,25.92385576,13.2
170619,26.93984576,10.7
170620,27.9956144,12.7
170621,26.73641744,9.9
170622,26.916438,9.2
170623,28.8115156,12.8
170624,27.2022956,6.3
170625,26.2413288,7.4
170626,24.67506088,9.8
170627,27.03534496,9.7
170628,27.9956144,8
170629,28.15928976,9.6
170630,27.82210632,8.7
170701,27.3019404,8.3
170702,25.723978,4.9
170703,25.2929268,5.5
170704,28.8115156,7.8
170705,29.7120024,9.3
170706,29.85567328,10.7
170707,28.4880352,4
170708,27.6900464,3
170709,28.9228292,6.5
170710,25.5798208,2.8
170711,27.9956144,8.7
170712,29.13484872,6.2
170713,29.9048176,9
170714,30.96860168,6.9
170715,26.810556,3.9
170716,28.61165712,5.4
170717,28.9193424,5
170718,28.7946396,6.8
170719,30.55391496,9.6
170720,32.31788552,8.9
170721,32.282508,5.1
170722,31.65777176,5
170723,29.0967208,2
170724,28.72474896,1.7
170725,31.70630224,10.8
170726,30.97190216,8.6
170727,29.27881416,4.8
170728,27.880258,2.1
